"PID";"Original tittel"
"1056936D-38BB-4189-AE9E-1C37B5D3A933";"Gulbarga"
"1074D935-FE82-45C9-B014-92CAE078B42B";"Institute of Mathematics and Informatics"
"1095F7B7-9167-4D5F-A7B3-981FD7BE92ED";"Ruskin Association"
"10D74038-DA78-43F3-B8BF-DC2DD04DACFF";"Baylor University Press"
"10F0603E-916A-4EE4-B04C-461675E813E2";"International Society for Asphalt Pavements"
"10F72E91-1256-477D-BC22-B7D8B77BBC60";"Editions Gaussen Marseille"
"1125403C-33EC-4505-A9C9-BD4159F3154A";"Tapia House"
"113D23E3-4B94-4F11-B03C-A89E0583767D";"Bristol University Press"
"11615D7E-8C0C-4748-9F26-784E436F80A3";"IEEE (Institute of Electrical and Electronics Engineers)"
"116BEADA-A915-44A4-9DE8-C46DBC2F7710";"ECMS European Council for Modelling and Simulation"
"116F6671-051E-427B-9A52-8096892A9570";"Society of Architectural Historians"
"119A904E-118C-4212-AE15-4C9BE413A5A4";"Ziel Verlag"
"119DDE0C-6124-4D96-9EDD-1404D31ED0B4";"Haraldsplass Diakonale Sykehus"
"11A8CD1D-142C-4109-BA07-D18F75C6FD1F";"Czech Language Institute ASCR"
"12033861-D1DF-4CC3-A03C-55CDFF6F9A86";"Ariadna Ediciones"
"121CDFC5-7BCE-46C5-9832-2AC191976344";"Ramtrans Publishing"
"1223ECCD-1894-4FB6-A61A-678F0D6A7232";"Greenleaf Publishing Ltd"
"124A2152-7CDE-402F-A6B1-A8201748C51F";"RUSI Journal"
"127C94E0-26CA-479E-9E7C-EC97D1D5047F";"Cappelen Damm Høyskoleforlaget"
"12A872C4-B1FD-4EE0-9A8B-91BA4ECB45C3";"Vikingeskibsmuseet"
"12A97E98-3FF7-48C0-996D-06BCA0D4FFEB";"Erlanger Verlag für Mission und Ökumene"
"12D31BA7-EFA2-492A-BDEA-66F78FF319DB";"Armando Editore"
"12D703C8-B6D2-4E6C-A702-30144C68D956";"Page One Publishing Pte Ltd"
"12F59EDD-618E-4711-B29B-14BE26E9F8B4";"St. Martin's Press"
"12F7048A-900C-4054-AA24-9FF3DACBC655";"Medieval and Renaissance Drama Society"
"130AE61D-FBAE-47EF-A1B6-5FC5449A75FC";"Edições Universitárias Lusófonas"
"1317EF78-71E6-420C-91BF-1D0891CE8E70";"Hebrew University Magne Press"
"131CD983-6606-45D9-8485-468ECA512722";"Scanditale"
"135C7E3F-C0C6-44CA-9AD4-5103012CFE3B";"Society of Manufacturing Engineers, North American Manufacturing Research Institution"
"1364D22A-88CA-4F3A-9238-DB02F9A83D42";"Kyoto International Forum of Environment and Energy"
"13721D51-6058-4520-A32D-989E8D957F87";"International Society of Offshore & Polar Engineers"
"137446B2-EE6E-4ADE-934E-1ABA61274F49";"Presses universitaires de Louvain"
"13A4AF9C-39FF-4B17-8796-B706239A85FC";"Bokvennen forlag"
"13A59FC9-6928-43F1-96CC-30F37AEAFF80";"Éditions Kimé"
"13B9AEA5-7E8A-4AAC-BA3A-95004A0E9D1D";"Sami allaskuvla (Samisk høyskole)"
"13BA84FD-A429-4CF7-A6EB-E1A1BAEEB1C9";"International Conference on Mathematical Views (MAVI)"
"13BE2488-FA1B-4392-8FA6-4D6CCE6FB871";"House of William Blake"
"13D97AAD-2940-40C3-82CD-187098F3B52C";"Iowa State University Press"
"13EE7EE6-DB78-4959-A6F4-095EEEE8908D";"Statens vegvesen"
"1411C039-F679-446D-8A58-CE6BA370BFF4";"Silex Ediciones"
"141FB888-24B4-48A6-9608-A932B614A3AC";"National Academy Press"
"143B66AF-80CD-46EB-BAD1-907B6E998317";"Editorial de la Universidad de Cantabria"
"143EA9B4-5171-47BA-BEA7-1499EE998DB8";"GAN forlag"
"1440A04A-5B4D-4FF7-A1DC-F9EE7198E04D";"Oldenbourg Wissenschaftsverlag GmbH"
"144754DD-624D-4ED8-ABB6-0F31511CB4F3";"Society of Economic Geologists"
"144D3FCD-5CBC-41BD-BBB1-F11157CCDED3";"Mississippi Philological Association"
"144F98E2-242A-4C70-BAFE-7A08DA5B0EAB";"Röhrig Universitätsverlag GmbH"
"14B11A7E-F376-483D-8077-B3EFFB3CBDD2";"Audio Engineering Society, Inc."
"14B99D7A-981B-4AF8-8596-C1334DE14938";"Scitsiugnil Press"
"14C9FB51-D598-4BDB-800F-E7CBC31871D0";"Association of Literary Scholars and Critics"
"14D817AE-B3C0-43DC-9AB2-8BB7BC6305ED";"AVERE. European Association for Battery, Hybrid and Fuel Cell Electric Road Vehicles"
"14D8F0E1-6B89-498C-BB3F-532981B49FBA";"Fountain Publishers"
"14DC1AAA-E956-4207-83A2-26C0C5E50EA6";"Sypress forlag"
"14E6F90B-6E57-4B01-A43E-5150F4DC7103";"Izdatelskij centr RGGU"
