GammelID;NyID;Type
506012;C8998E73-7C9F-4103-82C9-01E0B1BFCEFF;Tidsskrift
494117;1CB1F088-905B-4459-B7CF-01E17E8B39B1;Serie
443963;50F8BB53-99B1-4A46-8428-01E3CE85C69F;Tidsskrift
473605;83733431-4654-4C9A-966A-01E77741BC39;Tidsskrift
478800;3B0E9365-9FBF-4F4C-8DFE-01E88C9C9C6C;Tidsskrift
471619;231FA9F4-6819-48B8-B0D7-01EA167B34AA;Serie
473690;5E2E360E-15A2-4AA1-AC80-01EE63267CE5;Tidsskrift
470525;A34A2459-36FA-48D0-B9A6-01F1476AA76E;Serie
446728;FD578D72-06AF-4C2E-83D9-01F277BD00A9;Tidsskrift
486580;F84FECAC-336F-4F7E-9DB8-01F3A1B3E1E3;Tidsskrift
443299;4357846F-258B-4912-906B-01F3F2CD2412;Tidsskrift
342747;93CD5D8C-36EA-4638-A516-01F42B9DD6C7;Tidsskrift
476181;4228CC42-3B7F-433B-963D-01F4A66E5132;Tidsskrift
470609;BF7B0F72-200E-4C5B-853E-01F4DE46386F;Tidsskrift
439794;8072CE1E-1E5B-40FC-A4FA-01F84393ECD9;Tidsskrift
483539;DD207833-73D7-4B33-BCD3-01FAD82F6181;Tidsskrift
489769;9C78C5DE-1F99-4671-B519-01FD8837ECAC;Tidsskrift
485554;4491E042-EE28-45CA-9D2B-01FE4D370657;Tidsskrift
503790;ECBFA07C-5205-4B64-B1A9-020B52AD798E;Tidsskrift
504688;A4900D8F-8515-4E38-9297-020B6156C90F;Tidsskrift
487973;49ACB6F0-88B9-4FAF-BC32-020EFEC7A631;Tidsskrift
443039;708DF0F4-0DFF-4EEA-A488-0210118AEF34;Tidsskrift
449549;AF61D091-DCF7-400F-AC4C-021295BBEA69;Tidsskrift
489099;909BF6F0-702A-4908-94EB-021342E72691;Tidsskrift
439432;99A133EC-064F-4985-B1FF-021494ED3B7C;Tidsskrift
444116;E878C9DD-B72E-40D1-9149-0214C664C991;Tidsskrift
450067;D86A872A-B31B-4D20-948D-021538CBC84D;Tidsskrift
440680;3DD10BC5-6155-4E81-8B1D-02164694E503;Tidsskrift
477805;E02641FB-B29A-4199-9656-0216B3FB7851;Serie
507285;21073986-71A6-4683-9DCE-0218B488FC26;Tidsskrift
486773;33F410B6-E1C7-40EB-AD1C-021B11E3D161;Tidsskrift
440061;F86BF0BA-CF28-44B8-A5C7-021C0199DDF4;Tidsskrift
440761;5684FB21-6B42-499F-BC53-021C4ED037B6;Tidsskrift
441615;3D806662-4937-4CD2-B6FD-021F510C633A;Tidsskrift
341863;7AE42621-4884-4C3C-BAE8-02213BA19D5F;Tidsskrift
499725;3D38A00F-CAF5-47E0-AB36-0221B1FC9C3F;Tidsskrift
470411;B1BBA6AB-61C4-4871-BA98-022227F06E03;Tidsskrift
342920;241DFD6B-8B42-49D9-97F1-022385DBBEAD;Tidsskrift
442782;577E1F4B-9F91-4311-8DD2-02243F753EA4;Tidsskrift
478936;3F426805-E5DB-4013-BC85-022509F10C6A;Tidsskrift
440979;C3AC277F-496E-48CC-85E0-02254174B9DF;Tidsskrift
439185;262F15D3-0978-4A38-B3B9-0225B5FA4B40;Tidsskrift
483534;D4D5ECBD-DB5D-4565-A74D-0226DA63E6FF;Tidsskrift
445926;BB02AF52-E7C7-46B4-AE04-0226EC69D859;Tidsskrift
452286;F538B524-8F5F-4700-9A5C-02286663D2EF;Tidsskrift
471852;8FE613D0-78FA-451D-B95E-0228D761AD86;Tidsskrift
493015;12DB2263-045D-49B0-848E-022A6126F6C8;Tidsskrift
442711;72357349-F4A9-4DCE-A7E7-022A707362A8;Tidsskrift
503958;2CCD9EEB-D61D-4230-8780-022AA857E67C;Tidsskrift
439036;043626C5-D3CB-40BA-A146-022B2E07A931;Tidsskrift
497880;6C4D0430-E160-4150-ABA3-022BE0C57C58;Tidsskrift
497176;182AEBD7-BFEA-4C1F-B17B-022C3153D917;Tidsskrift
472296;3DDDAA5D-25B5-41BE-924B-022CBEC0508C;Tidsskrift
489826;3DDBEF94-DD3B-4082-87F0-022EAB354E6C;Serie
484520;1CFC57A1-60C1-4D92-A3FF-0230D732E243;Tidsskrift
440190;DEE0B26C-A130-416A-95C7-0232082295D6;Tidsskrift
442295;44B4CEF4-3E55-4FC5-B28B-02334DF2F7F1;Tidsskrift
488596;15FFF0DC-0A78-47BF-9A09-023655278CF0;Tidsskrift
444217;FC80FCCD-FB0D-45A9-A944-02372F651C78;Tidsskrift
504345;F4FAD063-0A64-47E2-B381-023ABBB4274B;Tidsskrift
490770;9272AB68-D942-49B0-901A-023B15C202E6;Tidsskrift
450871;D3AA7BAF-2674-4BCF-91F6-023D3F020CC1;Tidsskrift
469473;FD86C080-AD33-4923-BC38-023DA25EF260;Tidsskrift
480857;F6F7A632-673F-406E-95E3-02409BDCD8EC;Tidsskrift
439933;8ECD4D03-90C1-41A9-B38C-02414E5382CD;Tidsskrift
449968;9A77303C-EF58-4E52-B40B-024158762ED4;Tidsskrift
444055;F611870E-E822-4F53-B479-0243498857A2;Tidsskrift
450068;A3688B1C-0510-41A4-9A9D-02437E90CF5A;Tidsskrift
491728;B02B39A3-BB00-4C02-82F4-024394A3793A;Tidsskrift
465942;779C98F9-04B8-4E96-A3F1-024560E34530;Tidsskrift
498137;7799CE2A-24C0-4A54-84F4-0249A2472F00;Tidsskrift
474665;C2192C45-707F-4834-902B-024BF2D4F2ED;Tidsskrift
477131;72A33EE3-DF04-4EFD-B18B-024C57630FEF;Tidsskrift
